$ 2006_LOOKOUTPOINT-POOLELEV.csv based on LOOKOUT POINT-POOL/ELEV from HCR_LOP---0 C:/Users/g2echnb9/Documents/MFWill/HCR-LOP_IRRM_2020/boundaryConditions/RES_2020-01-13/Middle_Fork_And_Albany_Flows.dss
Units in  meters ;JDAY 1 is  2006-01-01
"JDAY","X2006_HCR_LOP...0_LOOKOUTPOINT.POOLELEV"
1,268.29
2,268.46
3,268.24
4,267.79
5,267.19
6,266.49
7,265.81
8,265.5
9,266.04
10,268.87
11,272.07
12,272.81
13,272.95
14,272.7
15,272.89
16,272.93
17,272.98
18,273.4
19,273.12
20,274.18
21,273.7
22,273.43
23,273
24,272.74
25,272.43
26,272.33
27,272.12
28,272.27
29,272.27
30,272.73
31,272.78
32,272.96
33,272.5
34,273.11
35,273.16
36,273.04
37,272.99
38,272.79
39,272.59
40,272.45
41,272.24
42,271.96
43,271.64
44,271.29
45,270.87
46,270.37
47,269.8
48,269.16
49,268.44
50,267.65
51,266.7
52,265.71
53,266.07
54,266.29
55,266.41
56,266.49
57,266.56
58,266.82
59,267.35
60,267.77
61,268.09
62,268.34
63,268.55
64,268.72
65,268.88
66,269.04
67,269.22
68,269.46
69,269.66
70,269.8
71,269.93
72,270.05
73,270.16
74,270.26
75,270.4
76,270.55
77,270.68
78,270.81
79,270.92
80,271.03
81,271.14
82,271.25
83,271.42
84,271.61
85,271.77
86,271.9
87,272.04
88,272.19
89,272.32
90,272.46
91,272.59
92,272.71
93,272.87
94,273.06
95,273.3
96,273.56
97,273.8
98,274.03
99,274.23
100,274.47
101,274.7
102,274.96
103,275.33
104,275.84
105,276.34
106,276.74
107,277.06
108,277.34
109,277.59
110,277.84
111,278.17
112,278.57
113,279
114,279.45
115,279.65
116,279.84
117,280.03
118,280.22
119,280.42
120,280.59
121,280.76
122,280.94
123,281.11
124,281.29
125,281.46
126,281.64
127,281.84
128,282.04
129,282.24
130,282.24
131,282.24
132,282.24
133,282.24
134,282.24
135,282.24
136,282.24
137,282.24
138,282.24
139,282.24
140,282.24
141,282.24
142,282.24
143,282.24
144,282.24
145,282.24
146,282.24
147,282.24
148,282.24
149,282.24
150,282.24
151,282.24
152,282.24
153,282.24
154,282.24
155,282.24
156,282.24
157,282.24
158,282.24
159,282.24
160,282.24
161,282.24
162,282.24
163,282.24
164,282.24
165,282.24
166,282.24
167,282.24
168,282.24
169,282.24
170,282.2
171,282.24
172,282.24
173,282.24
174,282.24
175,282.24
176,282.24
177,282.24
178,282.24
179,282.24
180,282.24
181,282.24
182,282.23
183,282.15
184,282.12
185,282.13
186,282.19
187,282.07
188,282.01
189,281.96
190,281.91
191,281.92
192,281.92
193,281.77
194,281.73
195,281.78
196,281.83
197,281.88
198,281.84
199,281.75
200,281.77
201,281.82
202,281.84
203,281.77
204,281.69
205,281.66
206,281.63
207,281.57
208,281.53
209,281.5
210,281.46
211,281.43
212,281.39
213,281.34
214,281.32
215,281.29
216,281.26
217,281.24
218,281.17
219,281.15
220,281.09
221,281.06
222,281.03
223,281
224,280.96
225,280.93
226,280.89
227,280.85
228,280.81
229,280.77
230,280.74
231,280.69
232,280.6
233,280.57
234,280.48
235,280.37
236,280.26
237,280.13
238,280
239,279.89
240,279.76
241,279.64
242,279.49
243,279.37
244,279.16
245,278.84
246,278.63
247,278.46
248,278.27
249,278.08
250,277.77
251,277.4
252,277.18
253,276.99
254,276.71
255,276.41
256,276.21
257,276.1
258,276.02
259,275.89
260,275.79
261,275.68
262,275.61
263,275.54
264,275.39
265,275.12
266,274.94
267,274.76
268,274.4
269,274.09
270,273.78
271,273.58
272,273.44
273,273.31
274,273.16
275,273.01
276,272.86
277,272.71
278,272.57
279,272.43
280,272.27
281,272.13
282,272.05
283,271.81
284,271.53
285,271.25
286,270.97
287,270.69
288,270.4
289,270.11
290,269.82
291,269.53
292,269.25
293,268.96
294,268.67
295,268.38
296,268.07
297,267.77
298,267.46
299,267.16
300,266.85
301,266.55
302,266.24
303,265.94
304,265.62
305,265.29
306,264.97
307,264.65
308,264.33
309,264
310,263.68
311,263.34
312,263
313,262.65
314,262.31
315,261.97
316,261.63
317,261.28
318,260.94
319,260.36
320,259.77
321,259.19
322,258.61
323,258.02
324,257.44
325,256.85
326,256.7
327,256.69
328,256.46
329,256.37
330,256.29
331,256.3
332,256.06
333,255.87
334,255.62
335,255.46
336,255.28
337,255.01
338,254.71
339,254.42
340,254.16
341,253.92
342,253.69
343,253.51
344,253.31
345,253.08
346,253.22
347,254.98
348,258.15
349,259.86
350,260.08
351,259.77
352,259.4
353,258.93
354,258.55
355,258.37
356,258.13
357,258.34
358,259.02
359,260.91
360,261.31
361,261.83
362,261.63
363,260.94
364,260.69
365,260.24
