$ 2006_LOOKOUTPOINT_INFLOW.csv based on LOOKOUT POINT-POOL/FLOW-IN from BASEPOR---0 HCRLOP_elev_IRRMS.dss
Units in  cms ;JDAY 1 is  2006-01-01
"JDAY","X2006_BASEPOR...0_LOOKOUTPOINT_INFLOW"
1,536.39
2,388.57
3,331.02
4,272.99
5,229.88
6,219.3
7,215.02
8,207.08
9,196.48
10,546.89
11,590.37
12,392.75
13,385.39
14,411.86
15,314.33
16,268.27
17,431.9
18,406.5
19,320.26
20,285.08
21,192.34
22,212.47
23,202.19
24,195.1
25,187.89
26,173.19
27,160.72
28,188.35
29,204.69
30,302.14
31,298.94
32,417.57
33,289.19
34,253.49
35,290.51
36,257.06
37,216.38
38,189.94
39,174.4
40,164.67
41,157.95
42,147.3
43,141.51
44,138.45
45,136.46
46,127.15
47,116.31
48,106.69
49,97.87
50,91.98
51,67.4
52,54.78
53,49.07
54,47.14
55,46.59
56,45.14
57,45.61
58,72.84
59,114.91
60,98.65
61,83.5
62,73.26
63,67.07
64,61.35
65,58.92
66,59.8
67,63.29
68,72.95
69,65.18
70,58.39
71,55.24
72,53.18
73,52.03
74,50.99
75,56.54
76,58.26
77,56.89
78,54.62
79,52.21
80,52.13
81,52.96
82,52.72
83,61.65
84,66.12
85,61.03
86,56.43
87,57.94
88,58.61
89,57.76
90,57.3
91,56.34
92,53.88
93,58.61
94,60.31
95,65.17
96,71.02
97,69.22
98,67.15
99,66.87
100,75.07
101,77.71
102,78.99
103,76.46
104,85.4
105,105.5
106,103.55
107,92.48
108,85.19
109,80.79
110,81.29
111,90.79
112,92.83
113,110.17
114,135.23
115,142.16
116,140.8
117,137.11
118,132.38
119,127.12
120,130.97
121,128.57
122,117.28
123,109.16
124,100.86
125,95.45
126,90.7
127,92.36
128,95.55
129,95.93
130,91.25
131,91.61
132,97.77
133,97.17
134,97.24
135,104.41
136,116.13
137,126.51
138,133.46
139,127.33
140,119.46
141,108.85
142,103.49
143,98.2
144,103.66
145,98.97
146,85.92
147,73.27
148,68.27
149,75.95
150,68.8
151,58.05
152,62.23
153,97.45
154,102.36
155,98
156,88.95
157,77.57
158,79.99
159,80.7
160,95.05
161,92.81
162,93.08
163,94.68
164,89.46
165,79.82
166,69.34
167,64.24
168,60.89
169,66.95
170,66.93
171,64.74
172,66.34
173,64.92
174,65.93
175,68.91
176,76.46
177,74.6
178,73.19
179,65.95
180,46.11
181,38.9
182,50.58
183,55.18
184,54.17
185,52.84
186,51.8
187,52.26
188,53.7
189,50.44
190,44.48
191,40.45
192,38.43
193,40.81
194,41.45
195,43.28
196,39.5
197,42.63
198,44.68
199,47.08
200,40.9
201,38
202,36.07
203,39.27
204,38.6
205,40.01
206,39.15
207,38.14
208,37.83
209,54.9
210,58.29
211,58.01
212,58.85
213,54.61
214,56.47
215,56.01
216,55.93
217,56.34
218,55.93
219,56.12
220,56.66
221,56.07
222,56.28
223,56.7
224,56.89
225,56.88
226,56.84
227,56.99
228,58.01
229,58.89
230,60.87
231,60.37
232,60.65
233,60.99
234,61.34
235,61.32
236,61.63
237,61.32
238,61.37
239,61.68
240,60.78
241,61.66
242,62.16
243,61.68
244,61.38
245,61.17
246,61.04
247,61.63
248,61.45
249,61.72
250,61.98
251,60.64
252,39.35
253,26.93
254,22.71
255,21.85
256,21.03
257,21.29
258,22.87
259,22.18
260,40.79
261,28.05
262,23.02
263,22.08
264,23.06
265,28.97
266,32.76
267,24.09
268,21.56
269,21.52
270,21.26
271,21.48
272,20.83
273,40.52
274,26.66
275,20.41
276,19.99
277,31.61
278,23.36
279,20.36
280,19.92
281,19.81
282,23.86
283,20.48
284,23.99
285,25.51
286,23.51
287,21.37
288,22.06
289,26.38
290,24.4
291,21.27
292,23.34
293,25.87
294,23.12
295,25.79
296,23.89
297,22.85
298,24.68
299,26.19
300,28.66
301,36.2
302,35.04
303,24.11
304,21.81
305,29.66
306,32.45
307,35.17
308,42.98
309,64.26
310,48.04
311,68.97
312,79.59
313,62.9
314,49.77
315,53.97
316,51.01
317,97.87
318,110.5
319,75.56
320,135.3
321,91.59
322,79.64
323,100.25
324,187.31
325,181.38
326,207.06
327,200.24
328,182.26
329,165.65
330,169.79
331,170.81
332,140.6
333,121.07
334,111.75
335,105.14
336,95.68
337,88.44
338,83.4
339,81.65
340,81.74
341,83.04
342,82.88
343,85.85
344,84.64
345,89.48
346,127.51
347,291.25
348,468.87
349,398.88
350,289.32
351,234.67
352,195.98
353,171.35
354,148.22
355,150.43
356,138.32
357,161.64
358,182.61
359,360.51
360,485.35
361,337.39
362,296.66
363,249.46
364,215.02
365,175.81
