$ 2006 QGT File; Data from C:/Users/g2echnb9/Documents/MFWill/HCR-LOP_IRRM_2020/boundaryConditions/RES_2020-01-13/HCR_LOP---0. Units in cubic meters per second.
# all times in PST
"JDAY","Spillway","Power"
1,72.52,118.93
2,170.85,118.93
3,170.42,118.93
4,171.9,118.93
5,174.56,118.93
6,176.45,118.93
7,179.94,118.93
8,106.3,118.93
9,0,33.98
10,0,33.98
11,0,97.02
12,187.98,118.93
13,282.58,118.93
14,282.67,118.93
15,196.75,118.93
16,154.44,118.93
17,239.78,118.93
18,336.42,118.93
19,335.7,118.93
20,0,37.61
21,220.37,118.93
22,131.33,118.93
23,143.87,118.93
24,87.61,118.93
25,111.42,118.93
26,48.97,118.93
27,66.32,118.93
28,29.52,118.93
29,91.04,118.93
30,159.1,118.93
31,220.71,118.93
32,273.52,118.93
33,273.52,118.93
34,0,99.67
35,167.46,118.93
36,167.3,118.93
37,87.81,118.93
38,76.83,118.93
39,78.24,118.93
40,60.78,118.93
41,67.1,118.93
42,68.67,118.93
43,69.17,118.93
44,72.37,118.93
45,79.82,118.93
46,90.8,118.93
47,101.17,118.93
48,110.09,118.93
49,117.82,118.93
50,124.37,118.93
51,130.47,118.93
52,122.19,118.93
53,0,33.98
54,0,33.98
55,0,33.98
56,0,33.98
57,0,33.98
58,0,33.98
59,0,33.98
60,0,33.98
61,0,33.98
62,0,33.98
63,0,33.98
64,0,33.98
65,0,33.98
66,0,33.98
67,0,33.98
68,0,33.98
69,0,33.98
70,0,33.98
71,0,33.98
72,0,33.98
73,0,33.98
74,0,33.98
75,0,33.98
76,0,33.98
77,0,33.98
78,0,33.98
79,0,33.98
80,0,33.98
81,0,33.98
82,0,33.98
83,0,33.98
84,0,33.98
85,0,33.98
86,0,33.98
87,0,33.98
88,0,33.98
89,0,33.98
90,0,33.98
91,0,33.98
92,0,33.98
93,0,33.98
94,0,33.98
95,0,33.98
96,0,40.7
97,0,44.39
98,0,42.23
99,0,38.65
100,0,34.22
101,0,34.36
102,0,38.53
103,0,35.18
104,0,33.98
105,0,33.98
106,0,33.98
107,0,33.98
108,0,33.98
109,0,33.98
110,0,33.98
111,0,33.98
112,0,33.98
113,0,40.7
114,0,48.7
115,0,97.96
116,0,83.42
117,0,75.89
118,0,68.36
119,0,82.72
120,7.39,118.93
121,0,103.22
122,0,89.92
123,0,81.87
124,0,76.85
125,0,75.59
126,0,73.29
127,0,69.76
128,0,66.12
129,0,62.49
130,0,100.38
131,0,101.01
132,0,103.82
133,0,102.83
134,0,105.16
135,0,112.09
136,0,118.93
137,8.35,118.93
138,15.19,118.93
139,9.06,118.93
140,1.19,118.93
141,0,109.51
142,0,104.02
143,0,98.74
144,0,104.19
145,0,101.83
146,0,104.51
147,0,101.59
148,0,80.26
149,0,72.42
150,0,61.5
151,0,56.53
152,0,68.67
153,0,97.82
154,0,102.25
155,0,97.9
156,0,88.86
157,0,86.04
158,0,90.49
159,0,95.22
160,0,91.44
161,0,88.25
162,0,88.88
163,0,90.72
164,0,78.69
165,0,102.82
166,0,100.75
167,0,76.8
168,0,61.33
169,0,55.08
170,0,63.1
171,0,68.19
172,0,78.74
173,0,76.13
174,0,74.06
175,0,74.15
176,0,72.76
177,0,70.88
178,0,70.37
179,0,70.1
180,0,67.2
181,0,66.17
182,0,48.07
183,0,55.97
184,0,45.78
185,0,48.15
186,0,52.17
187,0,71.1
188,0,57.19
189,0,53.73
190,0,54.79
191,0,55.71
192,0,56.13
193,0,74.62
194,0,57.2
195,0,50.64
196,0,51.59
197,0,51.86
198,0,70.73
199,0,76.08
200,0,56.32
201,0,52.33
202,0,57.38
203,0,75.65
204,0,77.23
205,0,67.8
206,0,68.24
207,0,71.91
208,0,70.27
209,0,67.31
210,0,69.51
211,0,67.25
212,0,69.28
213,0,67.9
214,0,63.69
215,0,65.83
216,0,65.04
217,0,65.05
218,0,72.95
219,0,65.14
220,0,72.17
221,0,66.08
222,0,65.69
223,0,65.92
224,0,70.14
225,0,66.67
226,0,67.29
227,0,68.99
228,0,69.11
229,0,69.87
230,0,69.02
231,0,51.59
232,0,43.92
233,0,44.68
234,0,45.3
235,0,45.44
236,0,44.97
237,0,48.04
238,0,47.4
239,0,45.36
240,0,46.02
241,0,46.07
242,0,51.99
243,0,45.3
244,0,62.85
245,0,83.92
246,0,62.85
247,0,53.92
248,0,58.36
249,0,59.94
250,0,80.42
251,0,90.1
252,0,100.18
253,0,76.56
254,0,77.46
255,0,77.82
256,0,57.77
257,0,41.07
258,0,38.87
259,0,44.62
260,0,40.81
261,0,41.35
262,0,35.29
263,0,34.79
264,0,50.25
265,0,68.79
266,0,91.04
267,0,71.48
268,0,91.33
269,0,76.62
270,0,75.64
271,0,55.96
272,0,44.71
273,0,44.04
274,0,46.37
275,0,46.29
276,0,46.25
277,0,44.13
278,0,44.77
279,0,45.31
280,0,45.64
281,0,44.44
282,0,33.98
283,0,98.17
284,0,84.6
