$Temperature file for segment 85
To the right of the sum of temperatures are individual temperatures starting with QWD then QSTR
JDAY,T(C),
     1.031,    0.00,
     1.052,    6.40,
     1.073,    6.27,
     1.094,    6.08,
     1.115,    6.04,
     1.136,    6.04,
     1.157,    6.07,
     1.178,    5.90,
     1.199,    5.59,
     1.220,    5.53,
     1.241,    5.51,
     1.262,    5.50,
     1.283,    5.51,
     1.304,    5.51,
     1.325,    5.52,
     1.346,    5.53,
     1.367,    5.53,
     1.388,    5.54,
     1.409,    5.54,
     1.430,    5.55,
     1.451,    5.56,
     1.472,    5.59,
     1.493,    5.62,
     1.514,    5.65,
     1.535,    5.68,
     1.556,    5.72,
     1.577,    5.76,
     1.598,    5.80,
     1.619,    5.84,
     1.640,    5.86,
     1.661,    5.88,
     1.682,    5.87,
     1.703,    5.87,
     1.724,    5.86,
     1.745,    5.85,
     1.766,    5.81,
     1.787,    5.78,
     1.808,    5.75,
     1.829,    5.71,
     1.850,    5.68,
     1.871,    5.66,
     1.892,    5.63,
     1.913,    5.61,
     1.934,    5.59,
     1.955,    5.58,
     1.976,    5.57,
     1.997,    5.56,
     2.018,    5.55,
     2.039,    5.54,
     2.060,    5.54,
     2.081,    5.54,
     2.102,    5.54,
     2.123,    5.54,
     2.144,    5.54,
     2.165,    5.53,
     2.186,    5.53,
     2.207,    5.53,
     2.228,    5.53,
     2.249,    5.53,
     2.270,    5.53,
     2.291,    5.52,
     2.312,    5.51,
     2.333,    5.51,
     2.354,    5.50,
     2.375,    5.50,
     2.396,    5.49,
     2.417,    5.49,
     2.438,    5.50,
     2.459,    5.50,
     2.480,    5.53,
     2.501,    5.56,
     2.522,    5.59,
     2.543,    5.63,
     2.564,    5.67,
     2.585,    5.71,
     2.606,    5.76,
     2.627,    5.80,
     2.648,    5.83,
     2.669,    5.84,
     2.690,    5.84,
     2.711,    5.84,
     2.732,    5.83,
     2.753,    5.82,
     2.774,    5.80,
     2.795,    5.77,
     2.816,    5.75,
     2.837,    5.73,
     2.858,    5.71,
     2.879,    5.69,
     2.900,    5.67,
     2.921,    5.65,
     2.942,    5.63,
     2.963,    5.62,
     2.984,    5.60,
     3.005,    5.57,
     3.026,    5.55,
     3.047,    5.53,
     3.068,    5.50,
     3.089,    5.47,
     3.110,    5.44,
     3.131,    5.42,
     3.152,    5.39,
     3.173,    5.36,
     3.194,    5.34,
     3.215,    5.32,
     3.236,    5.29,
     3.257,    5.27,
     3.278,    5.25,
     3.299,    5.23,
     3.320,    5.21,
     3.341,    5.20,
     3.362,    5.18,
     3.383,    5.17,
     3.404,    5.15,
     3.425,    5.14,
     3.446,    5.13,
     3.467,    5.13,
     3.488,    5.14,
     3.509,    5.14,
     3.530,    5.15,
     3.551,    5.17,
     3.572,    5.21,
     3.593,    5.24,
     3.614,    5.26,
     3.635,    5.29,
     3.656,    5.31,
     3.677,    5.32,
     3.698,    5.33,
     3.719,    5.33,
     3.740,    5.33,
     3.761,    5.32,
     3.782,    5.30,
     3.803,    5.29,
     3.824,    5.28,
     3.845,    5.27,
     3.866,    5.26,
     3.887,    5.26,
     3.908,    5.25,
     3.929,    5.25,
     3.950,    5.25,
     3.971,    5.25,
     3.992,    5.24,
     4.013,    5.24,
     4.034,    5.23,
     4.055,    5.22,
     4.076,    5.21,
     4.097,    5.20,
     4.118,    5.18,
     4.139,    5.17,
     4.160,    5.16,
     4.181,    5.15,
     4.202,    5.14,
     4.223,    5.13,
     4.244,    5.12,
     4.265,    5.11,
     4.286,    5.10,
     4.307,    5.09,
     4.328,    5.08,
     4.349,    5.07,
     4.370,    5.06,
     4.391,    5.05,
     4.412,    5.05,
     4.433,    5.05,
     4.454,    5.07,
     4.475,    5.11,
     4.496,    5.17,
     4.517,    5.22,
     4.538,    5.26,
     4.559,    5.29,
     4.580,    5.31,
     4.601,    5.35,
     4.622,    5.38,
     4.643,    5.41,
     4.664,    5.42,
     4.685,    5.42,
     4.706,    5.42,
     4.727,    5.41,
     4.748,    5.40,
     4.769,    5.39,
     4.790,    5.38,
     4.811,    5.38,
     4.832,    5.37,
     4.853,    5.36,
     4.874,    5.35,
     4.895,    5.34,
     4.916,    5.33,
     4.937,    5.32,
     4.958,    5.31,
     4.979,    5.30,
     5.000,    5.29,
     5.021,    5.29,
     5.042,    5.28,
     5.063,    5.27,
     5.084,    5.26,
     5.105,    5.25,
     5.126,    5.23,
     5.147,    5.22,
     5.168,    5.21,
     5.189,    5.21,
     5.210,    5.20,
     5.231,    5.20,
     5.252,    5.20,
     5.273,    5.21,
     5.294,    5.21,
     5.315,    5.21,
     5.336,    5.21,
     5.357,    5.20,
     5.378,    5.20,
     5.399,    5.21,
     5.420,    5.21,
     5.441,    5.22,
     5.462,    5.23,
     5.483,    5.25,
     5.504,    5.28,
     5.525,    5.34,
     5.546,    5.39,
     5.567,    5.43,
