$ 2006_DEXTER-POOLELEV.csv based on DEXTER-POOL/ELEV from HCR_LOP---0 C:/Users/g2echnb9/Documents/MFWill/HCR-LOP_IRRM_2020/boundaryConditions/RES_2020-01-13/Middle_Fork_And_Albany_Flows.dss
Units in  meters ;JDAY 1 is  2006-01-01
"JDAY","X2006_HCR_LOP...0_DEXTER.POOLELEV"
1,211.23
2,211.23
3,211.23
4,211.23
5,211.23
6,211.23
7,211.23
8,211.23
9,211.23
10,211.23
11,211.23
12,211.22
13,211.23
14,211.21
15,211.22
16,211.23
17,211.21
18,211.2
19,211.2
20,211.23
21,211.21
22,211.23
23,211.23
24,211.23
25,211.23
26,211.23
27,211.23
28,211.23
29,211.23
30,211.22
31,211.21
32,211.21
33,211.21
34,211.23
35,211.22
36,211.22
37,211.23
38,211.23
39,211.23
40,211.23
41,211.23
42,211.23
43,211.23
44,211.23
45,211.23
46,211.23
47,211.23
48,211.23
49,211.23
50,211.23
51,211.23
52,211.23
53,211.23
54,211.23
55,211.23
56,211.23
57,211.23
58,211.23
59,211.23
60,211.23
61,211.23
62,211.23
63,211.23
64,211.23
65,211.23
66,211.23
67,211.23
68,211.23
69,211.23
70,211.23
71,211.23
72,211.23
73,211.23
74,211.23
75,211.23
76,211.23
77,211.23
78,211.23
79,211.23
80,211.23
81,211.23
82,211.23
83,211.23
84,211.23
85,211.23
86,211.23
87,211.23
88,211.23
89,211.23
90,211.23
91,211.23
92,211.23
93,211.23
94,211.23
95,211.23
96,211.23
97,211.23
98,211.23
99,211.23
100,211.23
101,211.23
102,211.23
103,211.23
104,211.23
105,211.23
106,211.23
107,211.23
108,211.23
109,211.23
110,211.23
111,211.23
112,211.23
113,211.23
114,211.23
115,211.23
116,211.23
117,211.23
118,211.23
119,211.23
120,211.23
121,211.23
122,211.23
123,211.23
124,211.23
125,211.23
126,211.23
127,211.23
128,211.23
129,211.23
130,211.23
131,211.23
132,211.23
133,211.23
134,211.23
135,211.23
136,211.23
137,211.23
138,211.23
139,211.23
140,211.23
141,211.23
142,211.23
143,211.23
144,211.23
145,211.23
146,211.23
147,211.23
148,211.23
149,211.23
150,211.23
151,211.23
152,211.23
153,211.23
154,211.23
155,211.23
156,211.23
157,211.23
158,211.23
159,211.23
160,211.23
161,211.23
162,211.23
163,211.23
164,211.23
165,211.23
166,211.23
167,211.23
168,211.23
169,211.23
170,211.23
171,211.23
172,211.23
173,211.23
174,211.23
175,211.23
176,211.23
177,211.23
178,211.23
179,211.23
180,211.23
181,211.23
182,211.23
183,211.23
184,211.23
185,211.23
186,211.23
187,211.23
188,211.23
189,211.23
190,211.23
191,211.23
192,211.23
193,211.23
194,211.23
195,211.23
196,211.23
197,211.23
198,211.23
199,211.23
200,211.23
201,211.23
202,211.23
203,211.23
204,211.23
205,211.23
206,211.23
207,211.23
208,211.23
209,211.23
210,211.23
211,211.23
212,211.23
213,211.23
214,211.23
215,211.23
216,211.23
217,211.23
218,211.23
219,211.23
220,211.23
221,211.23
222,211.23
223,211.23
224,211.23
225,211.23
226,211.23
227,211.23
228,211.23
229,211.23
230,211.23
231,211.23
232,211.23
233,211.23
234,211.23
235,211.23
236,211.23
237,211.23
238,211.23
239,211.23
240,211.23
241,211.23
242,211.23
243,211.23
244,211.23
245,211.23
246,211.23
247,211.23
248,211.23
249,211.23
250,211.23
251,211.23
252,211.23
253,211.23
254,211.23
255,211.23
256,211.23
257,211.23
258,211.23
259,211.23
260,211.23
261,211.23
262,211.23
263,211.23
264,211.23
265,211.23
266,211.23
267,211.23
268,211.23
269,211.23
270,211.23
271,211.23
272,211.23
273,211.23
274,211.23
275,211.23
276,211.23
277,211.23
278,211.23
279,211.23
280,211.23
281,211.23
282,211.23
283,211.23
284,211.23
285,211.23
286,211.23
287,211.23
288,211.23
289,211.23
290,211.23
291,211.23
292,211.23
293,211.23
294,211.23
295,211.23
296,211.23
297,211.23
298,211.23
299,211.23
300,211.23
301,211.23
302,211.23
303,211.23
304,211.23
305,211.23
306,211.23
307,211.23
308,211.23
309,211.23
310,211.23
311,211.23
312,211.23
313,211.23
314,211.23
315,211.23
316,211.23
317,211.23
318,211.23
319,211.23
320,211.23
321,211.23
322,211.23
323,211.23
324,211.23
325,211.23
326,211.23
327,211.23
328,211.23
329,211.23
330,211.23
331,211.23
332,211.23
333,211.23
334,211.23
335,211.23
336,211.23
337,211.23
338,211.23
339,211.23
340,211.23
341,211.23
342,211.23
343,211.23
344,211.23
345,211.23
346,211.23
347,211.23
348,211.23
349,211.23
350,211.23
351,211.23
352,211.23
353,211.23
354,211.23
355,211.23
356,211.23
357,211.23
358,211.23
359,211.23
360,211.23
361,211.23
362,211.23
363,211.23
364,211.23
365,211.23
