$# WB_2006_LOOKOUTPOINT-POOLELEVqwb_36.csv Water Balance; distributed tributary (cms)  2020-01-24_10:18
#
# JDAY, New_Qdt_Qcms
1,0
2,-419.13809
3,-144.06531
4,-67.32953
5,-95.7723
6,-14.4687
7,29.40345
8,-90.54701
9,390.42495
10,198.60684
11,-364.74401
12,-147.35194
13,-113.27239
14,2.24223
15,-145.70333
16,189.28089
17,-183.91963
18,-66.27217
19,330.94881
20,-309.50928
21,8.59832
22,7.28496
23,-28.26702
24,-9.57507
25,-18.03717
26,-1.5269
27,-4.18675
28,22.73729
29,-23.75628
30,78.3246
31,33.53262
32,-198.89904
33,199.2594
34,-118.53797
35,-77.47709
36,18.04568
37,-42.06586
38,-41.61234
39,-2.08118
40,-15.13331
41,-24.22155
42,-16.45526
43,-11.68833
44,-13.67951
45,-26.4471
46,-17.88009
47,11.70043
48,-45.01647
49,89.83396
50,-51.38773
51,-45.63172
52,267.2702
53,74.22221
54,8.7384
55,12.12463
56,-19.7125
57,14.92162
58,64.411
59,-2.91123
60,-20.26004
61,-12.37503
62,-5.45703
63,-9.06127
64,-0.14851
65,-2.22695
66,-1.52954
67,17.10282
68,-4.5807
69,-11.94561
70,-7.58301
71,-0.89242
72,-0.96474
73,-4.50193
74,5.11153
75,6.76275
76,-4.28857
77,-0.96369
78,-5.78258
79,2.40423
80,0.39183
81,-6.19807
82,9.34973
83,8.86533
84,-1.15609
85,-10.2698
86,-1.61696
87,4.7257
88,-4.13286
89,0.77731
90,-2.46456
91,-2.84912
92,0.50712
93,8.01304
94,13.33635
95,9.67809
96,14.37444
97,13.49943
98,11.13039
99,18.31945
100,4.21864
101,-2.77948
102,5.87245
103,45.13696
104,58.34233
105,12.5911
106,-12.37205
107,-9.3433
108,-8.08762
109,-12.27667
110,23.5234
111,-4.66908
112,34.26829
113,35.75784
114,-46.48727
115,-11.15703
116,-21.34783
117,-13.58092
118,-33.29909
119,-28.53168
120,26.51709
121,15.27521
122,6.3326
123,9.49768
124,1.94568
125,22.25303
126,6.22349
127,31.3141
128,24.09919
129,-38.12535
130,-1.72631
131,10.75198
132,7.46216
133,4.43601
134,7.31044
135,8.94928
136,4.62899
137,2.47576
138,-2.53007
139,6.00822
140,-4.99367
141,0.53347
142,-2.99512
143,1.83848
144,-1.87739
145,-6.3363
146,9.01379
147,31.1677
148,15.4247
149,-0.11221
150,-8.21606
151,-11.29201
152,15.94043
153,-8.39596
154,1.62417
155,-6.00125
156,-1.32041
157,2.01304
158,9.39316
159,17.81972
160,4.71389
161,-9.47594
162,-1.30327
163,2.52091
164,-24.74134
165,13.10693
166,26.48976
167,26.53102
168,7.72918
169,-21.33252
170,-1.2969
171,-0.04191
172,11.44695
173,10.92744
174,9.77647
175,9.38536
176,-1.69883
177,-5.84342
178,3.21827
179,-13.80454
180,21.51877
181,32.51072
182,-1.97562
183,-20.30525
184,-2.16136
185,12.13236
186,-27.48737
187,3.57396
188,4.08825
189,-24.15824
190,13.83453
191,25.23539
192,-22.84523
193,22.05325
194,24.95479
195,14.65123
196,33.35536
197,1.48689
198,-0.06599
199,26.94083
200,29.35929
201,26.92233
202,4.2564
203,12.41025
204,32.95132
205,29.48719
206,11.06758
207,24.44565
208,34.13209
209,7.0469
210,9.74703
211,0.62872
212,-2.97707
213,13.74854
214,-4.38258
215,10.51756
216,2.23355
217,-4.91017
218,12.34553
219,-1.70677
220,5.63843
221,9.4411
222,1.61141
223,-1.09018
224,8.48564
225,2.42108
226,1.27222
227,7.30766
228,-3.20899
229,9.82127
230,6.43643
231,-22.83977
232,-18.72666
233,-30.73929
234,-37.35677
235,-33.8294
236,-44.53935
237,-36.70751
238,-39.08527
239,-36.55479
240,-36.62076
241,-54.73644
242,-18.54048
243,-50.76445
244,-77.73762
245,-18.06497
246,-25.89718
247,-42.13798
248,-33.62048
249,-47.55512
250,-71.27345
251,-34.32722
252,29.21242
253,4.31913
254,-5.71706
255,8.98805
256,29.38639
257,3.55147
258,-2.46945
259,4.92843
260,-22.80225
261,-6.19919
262,1.4813
263,4.60233
264,-47.07435
265,4.63497
266,28.95164
267,-12.12138
268,8.6408
269,1.20786
270,10.88104
271,18.47197
272,9.87049
273,-19.91688
274,-16.6194
275,0.60324
276,4.6833
277,-17.98837
278,9.26886
279,-24.12999
280,12.19891
281,19.58622
282,-43.34786
283,20.97487
284,21.99762
285,1.78001
286,-1.74227
287,-5.28937
288,-4.73886
289,7.92758
290,0.67713
291,1.98794
292,6.83263
293,1.75745
294,-0.20847
295,-9.45951
296,-1.38145
297,-8.42299
298,4.81246
299,-9.59677
300,-17.42929
301,18.38234
302,9.04311
303,-2.42936
304,-2.86678
305,-3.38483
306,1.38762
307,-5.608
308,-1.81789
309,-3.41027
310,-7.70896
311,0.81711
312,-2.40021
313,-11.64717
314,8.67388
315,-14.20969
316,3.29473
317,7.86795
318,-37.01419
319,-16.83052
320,-1.92881
321,-10.20517
322,5.99288
323,-32.81827
324,-42.48734
325,55.20372
326,29.87244
327,-20.04717
328,-10.67849
329,11.85795
330,10.57276
331,-27.37342
332,2.791
333,-22.52861
334,-3.12624
335,-9.09521
336,-25.48039
337,-14.70653
338,-11.8744
339,-0.39435
340,-1.98831
341,7.0386
342,1.05733
343,3.47897
344,30.70515
345,-61.12872
346,136.00805
347,321.20702
348,-24.45813
349,-217.78911
350,-106.00953
351,-14.11516
352,-68.86229
353,5.24752
354,-46.17398
355,46.05227
356,-70.8138
357,51.54265
358,250.56129
359,-228.1741
360,-27.76816
361,-38.91651
362,-52.71278
363,79.51221
364,Inf
366,0
